Brand,Model and Version,Seller name,City,Price,Mileage,Year,Gearbox,Fuel,Date,Fiscal Power,Doors,Body,First Hand,Ad Link
MERCEDES,Classe c,AUTO GHALI,Casablanca,,140 000,2015,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407387/mercedes-classe-c-pack-amg.html
AUDI,A3,AUTO GHALI,Casablanca,,44 000,2021,Automatique,Diesel,13-12-2022,,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402981/audi-a3-s-line.html
AUDI,A3 berline,CAR & SHOP,Casablanca,,,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406334/audi-a3-berline-.html
AUDI,Q5 sportback,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/390119/audi-q5-sportback-s-line.html
AUTRE,Autre,ETOILE CAR,Casablanca,280 000 Dhs,9 000,2022,Automatique,Essence,13-12-2022,8,3,Micro-citadine,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408437/autre-autre-.html
BMW,Serie 5,AUTO 212,Casablanca,,149 000,2013,Automatique,Diesel,13-12-2022,8,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402907/bmw-serie-5-.html
VOLKSWAGEN,Golf 8,AUTO GHALI,Casablanca,,30 000,2021,Automatique,Diesel,13-12-2022,8,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405691/volkswagen-golf-8-r-line.html
AUDI,Q3 sportback,PLATINIUM AUTO,Casablanca,,,2022,Automatique,Diesel,13-12-2022,9,5,Crossover,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/384085/audi-q3-sportback-s-line-sportback-40-tdi.html
LAND-ROVER,Range rover sport,AUTO GHALI,Casablanca,,50 000,2019,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400597/land-rover-range-rover-sport-.html
BMW,Serie 4 gran coupe,ETOILE CAR,Casablanca,,4 000,2022,Automatique,Diesel,13-12-2022,10,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408444/bmw-serie-4-gran-coupe-.html
LAMBORGHINI,Urus,AUTO GHALI,Casablanca,,3 000,2022,Automatique,Essence,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403554/lamborghini-urus-.html
MERCEDES,Classe c,AUTO GHALI,Casablanca,,7 000,2022,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401336/mercedes-classe-c-300-d.html
PEUGEOT,3008,AUTO AYMANE,Casablanca,,96 000,2018,Automatique,Diesel,13-12-2022,8,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/386510/peugeot-3008-gt-line.html
CUPRA,Formentor,ETOILE CAR,Casablanca,,,2022,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/373059/cupra-formentor-.html
LAND-ROVER,Range rover sport,AUTO HICHAM,Casablanca,,50 000,2018,Automatique,Diesel,13-12-2022,12,4,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405839/land-rover-range-rover-sport-autobiographie.html
KIA,Picanto,GLOBAL OCCAZ,Casablanca,95 000 Dhs,64 000,2019,Manuelle,Essence,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404746/kia-picanto-.html
RENAULT,Megane 4,GLOBAL OCCAZ,Casablanca,165 000 Dhs,74 000,2019,Manuelle,Diesel,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403312/renault-megane-4-.html
PORSCHE,Panamera,PLATINIUM AUTO,Casablanca,,,2014,Automatique,Diesel,13-12-2022,12,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399516/porsche-panamera-.html
VOLKSWAGEN,Golf 8,AUTO GHALI,Casablanca,,11 000,2021,Automatique,Diesel,13-12-2022,8,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407175/volkswagen-golf-8-gtd.html
MERCEDES,Classe c,AUTO GHALI,Casablanca,,1 000,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401329/mercedes-classe-c-220-d.html
ALFA-ROMEO,Stelvio,PLATINIUM AUTO,Casablanca,,32 000,2020,Automatique,Diesel,13-12-2022,9,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/396657/alfa-romeo-stelvio-.html
PORSCHE,Macan,GT AUTO,Casablanca,,13 000,2020,Automatique,Essence,13-12-2022,17,4,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398459/porsche-macan-.html
MERCEDES,Classe c,AUTO GHALI,Casablanca,,26 000,2022,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401328/mercedes-classe-c-300-d.html
AUDI,S3,AUTO HICHAM,Casablanca,,124 000,2017,Automatique,Essence,13-12-2022,11,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403540/audi-s3-.html
MERCEDES,Classe e,PLATINIUM AUTO,Casablanca,,82 000,2017,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/380613/mercedes-classe-e-220d.html
FORD,Transit,AUTO 212,Casablanca,,94 000,2019,Manuelle,Diesel,13-12-2022,9,3,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404763/ford-transit-.html
AUTRE,Autre,BOURGOGNE AUTO,Casablanca,315 000 Dhs,149 000,2014,Automatique,Diesel,13-12-2022,15,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400735/autre-autre-.html
MERCEDES,Classe s,HIVERNAGE AUTO,Casablanca,,17 000,2018,Automatique,Diesel,13-12-2022,12,4,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/320673/mercedes-classe-s-400d-pack-amg.html
VOLKSWAGEN,Golf 8,AUTO GHALI,Casablanca,,6 000,2021,Automatique,Diesel,13-12-2022,,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/392504/volkswagen-golf-8-gtd.html
VOLKSWAGEN,Golf 7,AUTO AYMANE,Casablanca,,65 000,2018,Automatique,Diesel,13-12-2022,8,,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/373918/volkswagen-golf-7-.html
BMW,Z4,PLATINIUM AUTO,Casablanca,,39 000,2021,Automatique,Essence,13-12-2022,11,2,Cabriolet,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398150/bmw-z4-sdrive-20i.html
RENAULT,Kangoo,Nom masqué,Casablanca,,100 000,2019,Manuelle,Diesel,13-12-2022,,,Utilitaire (minivan),,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404402/renault-kangoo-.html
LAND-ROVER,Range rover vogue,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403981/land-rover-range-rover-vogue-.html
